City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,9.22,87,100,11.37,IS,1731361025
1,avarua,-21.2078,-159.775,25.03,65,75,6.17,CK,1731361027
2,thompson,55.7435,-97.8558,-3.91,86,100,1.54,CA,1731361021
3,gadzhiyevo,69.2551,33.3362,2.24,87,100,7.39,RU,1731361029
4,manado,1.487,124.8455,23.43,100,20,0.51,ID,1731361031
5,tinogasta,-28.0632,-67.5649,17.88,56,97,3.35,AR,1731361032
6,olonkinbyen,70.9221,-8.7187,0.75,87,99,8.79,SJ,1731361014
7,iqaluit,63.7506,-68.5145,-9.15,72,100,1.03,CA,1731361011
8,port-aux-francais,-49.35,70.2167,4.78,89,100,5.79,TF,1731361036
9,papatowai,-46.5619,169.4708,13.73,52,8,3.96,NZ,1731361038
10,east london,-33.0153,27.9116,16.75,85,2,3.15,ZA,1731360773
11,lacombe,52.4668,-113.7353,6.29,55,96,5.47,CA,1731361041
12,saudarkrokur,65.7461,-19.6394,12.69,80,100,12.23,IS,1731361042
13,north bend,43.4065,-124.2243,13.98,72,20,5.66,US,1731361043
14,adamstown,-25.066,-130.1015,21.34,65,96,1.23,PN,1731361044
15,fortuna,40.5982,-124.1573,15.19,77,75,0.0,US,1731360791
16,kardla,58.9978,22.7492,7.18,85,100,3.66,EE,1731361048
17,halifax,44.6453,-63.5724,12.61,94,100,1.34,CA,1731360362
18,whitehorse,60.7161,-135.0538,-1.66,92,100,2.06,CA,1731361052
19,waitangi,-43.9535,-176.5597,12.68,82,79,2.68,NZ,1731361053
20,quepos,9.4236,-84.1652,23.31,97,100,2.76,CR,1731361055
21,ust-nera,64.5667,143.2,-30.2,99,86,0.82,RU,1731361056
22,vorkuta,67.5,64.0,-10.66,96,100,2.52,RU,1731361047
23,astrakhan,46.3497,48.0408,4.93,93,75,1.0,RU,1731361058
24,tiksi,71.6872,128.8694,-17.34,94,100,1.69,RU,1731361060
25,lihue,21.9789,-159.3672,24.3,93,100,5.14,US,1731361061
26,quatre cocos,-20.2078,57.7625,24.49,73,43,6.18,MU,1731361062
27,shimoda,34.6667,138.95,18.04,71,41,1.24,JP,1731361063
28,susuman,62.7833,148.1667,-21.71,98,100,1.44,RU,1731361065
29,grytviken,-54.2811,-36.5092,-0.12,91,94,4.4,GS,1731361010
30,mount pearl,47.5166,-52.7813,6.75,87,100,3.6,CA,1731361067
31,wailua homesteads,22.0669,-159.378,23.96,92,100,5.14,US,1731361069
32,kapa'a,22.0752,-159.319,24.71,92,100,5.14,US,1731361070
33,imperatriz,-5.5264,-47.4917,27.03,57,20,2.57,BR,1731361071
34,bethel,41.3712,-73.414,18.05,54,0,3.6,US,1731361009
35,neryungri,56.6709,124.6491,-24.06,96,38,0.88,RU,1731361074
36,makoua,0.0069,15.6333,22.9,85,22,0.87,CG,1731361075
37,mangai,-4.05,19.5333,20.85,94,44,0.03,CD,1731361076
38,nova sintra,14.8667,-24.7167,26.98,68,0,6.89,CV,1731361077
39,port mathurin,-19.6833,63.4167,24.1,81,80,9.79,MU,1731361079
40,invercargill,-46.4,168.35,14.45,62,15,1.79,NZ,1731361080
41,happy valley-goose bay,53.3168,-60.3315,0.17,64,100,1.03,CA,1731361081
42,ushuaia,-54.8,-68.3,9.81,57,40,1.03,AR,1731361014
43,bardai,11.65,7.2333,21.17,33,3,3.8,NG,1731360907
44,edinburgh of the seven seas,-37.0676,-12.3116,13.18,79,100,6.41,SH,1731361085
45,badger,64.8,-147.5333,-15.86,81,0,1.54,US,1731361020
46,talnakh,69.4865,88.3972,-28.13,91,51,0.89,RU,1731361087
47,blackmans bay,-43.0167,147.3167,13.18,75,46,0.45,AU,1731361089
48,port elizabeth,-33.918,25.5701,16.84,96,0,2.57,ZA,1731360904
49,kuanda,56.3161,116.0806,-19.33,95,68,0.79,RU,1731361091
50,midvagur,62.0511,-7.1939,10.46,93,100,4.12,FO,1731361093
51,longyearbyen,78.2186,15.6401,0.91,93,75,1.54,SJ,1731361094
52,moissala,8.3404,17.7663,24.62,42,13,1.83,TD,1731361095
53,hawaiian paradise park,19.5933,-154.9731,26.73,88,75,2.57,US,1731361009
54,es castell,39.8795,4.2854,16.38,72,40,8.75,ES,1731361098
55,punta arenas,-53.15,-70.9167,12.06,58,75,12.35,CL,1731361010
